Date,Open,High,Low,Close,Volume,Return,label
2017-01-03,757.92,758.7595,747.7,753.67,3519877,0.51%,0
2017-01-04,758.39,759.68,754.2,757.18,2505296,0.47%,1
2017-01-05,761.55,782.3999,760.2557,780.45,5820195,3.07%,0
2017-01-06,782.36,799.44,778.48,795.99,5981169,1.99%,0
2017-01-09,798,801.7742,791.77,796.92,3442864,0.12%,0
2017-01-10,796.6,798,789.5434,795.9,2557640,-0.13%,0
2017-01-11,793.66,799.5,789.51,799.02,2986267,0.39%,0
2017-01-12,800.31,814.13,799.5,813.64,4865798,1.83%,0
2017-01-13,814.32,821.65,811.4,817.14,3777135,0.43%,0
2017-01-17,815.7,816,803.44,809.72,3668111,-0.91%,0
2017-01-18,809.5,811.73,804.27,807.48,2344879,-0.28%,0
2017-01-19,810,813.51,807.32,809.04,2529569,0.19%,0
2017-01-20,815.28,816.02,806.26,808.33,3373183,-0.09%,0
2017-01-23,806.8,818.5,805.08,817.88,2794228,1.18%,0
2017-01-24,822,823.99,814.5,822.44,2967753,0.56%,0
2017-01-25,825.79,837.4183,825.288,836.52,3931475,1.71%,0
2017-01-26,835.53,843.84,833,839.15,3571395,0.31%,0
2017-01-27,839,839.7,829.44,835.77,2994700,-0.40%,0
2017-01-30,833,833.5,816.38,830.38,3681441,-0.64%,0
2017-01-31,823.75,826.99,819.56,823.48,3129269,-0.83%,0
2017-02-01,829.21,833.78,824.94,832.35,3831319,1.08%,0
2017-02-02,836.59,842.49,828.26,839.95,7043095,0.91%,-1
2017-02-03,806.72,818.3,804,810.2,10855610,-3.54%,0
2017-02-06,809.8,810.72,803,807.64,3827284,-0.32%,0
2017-02-07,809.31,816.16,807.5,812.5,3463842,0.60%,0
2017-02-08,812.69,821.479,812.5,819.71,2856058,0.89%,0
2017-02-09,821.6,825,819.71,821.36,2482464,0.20%,0
2017-02-10,823.82,828,822.85,827.46,2427817,0.74%,0
2017-02-13,831.62,842.9999,828.55,836.53,4167521,1.10%,0
