Date,Open,High,Low,Close,Volume,Return,Label
2005/7/15,37.35,37.5,36.75,37.15,5209221,-0.11%,0
2005/7/18,36.95,37.19,36.76,37.19,2973488,0.11%,0
2005/7/19,36.69,38.17,36.69,38.17,5845197,2.64%,0
2005/7/20,37.49,38.25,37.3,38.17,6382300,0.00%,0
2005/7/21,39.02,39.75,37.76,37.95,11068960,-0.58%,0
2005/7/22,37.89,38.23,37.24,37.95,5874900,0.00%,0
2005/7/25,38,39.04,37.85,37.95,5469979,0.00%,0
2005/7/26,38.08,38.75,37.72,37.74,15536960,-0.55%,1
2005/7/27,42.02,43.74,41.84,43.65,46091760,15.66%,1
2005/7/28,43.5,45.81,43.37,45.68,25145170,4.65%,0
2005/7/29,45.31,45.75,44.61,45.15,10507420,-1.16%,0
2005/8/1,44.88,45.19,44.35,44.93,7128145,-0.49%,1
2005/8/2,44.9,46.97,44.88,46.51,10840080,3.52%,0
2005/8/3,46.01,46.18,45.84,46.11,4842301,-0.86%,0
2005/8/4,45.55,45.77,45.42,45.46,4978190,-1.41%,0
2005/8/5,45.25,45.71,45.17,45.27,4954649,-0.42%,0
2005/8/8,45.32,45.9,45.26,45.66,4455551,0.86%,0
2005/8/9,45.76,46.439,45.75,45.93,4594351,0.59%,1
2005/8/10,45.39,45.57,44.59,44.76,10162410,-2.55%,0
2005/8/11,44.64,45.211,44.5,45.21,5858388,1.01%,1
2005/8/12,44.63,45.72,44.05,44.2,6611407,-2.23%,0
2005/8/15,43.93,45.35,43.88,45.04,5521725,1.90%,1
2005/8/16,44.9,44.94,44.2,44.27,3625055,-1.71%,0
2005/8/17,44.19,44.43,44.12,44.12,3050321,-0.34%,0
2005/8/18,43.88,43.9,43.51,43.73,3604240,-0.88%,0
2005/8/19,43.55,43.77,43.3301,43.72,3561680,-0.02%,0
2005/8/22,43.61,44.27,42.94,43.77,5378649,0.11%,0
2005/8/23,43.74,43.97,43.22,43.42,3517627,-0.80%,1
2005/8/24,43.32,43.32,42.27,42.37,5871804,-2.42%,0
2005/8/25,42.44,42.8,42.08,42.31,3092258,-0.14%,0
2005/8/26,42.3,42.63,42.26,42.37,2859888,0.14%,0
2005/8/29,42,43,41.91,42.79,3653665,0.99%,0
2005/8/30,42.39,42.71,41.96,42.49,3874049,-0.70%,0
2005/8/31,42.44,42.81,42.04,42.7,3367735,0.49%,1
2005/9/1,42.52,42.97,41.75,41.84,4343470,-2.01%,0
2005/9/2,42,42.05,41.04,41.51,4027100,-0.79%,1
2005/9/6,41.55,43.65,41.51,43.62,7931181,5.08%,0
2005/9/7,43.5,44.3,43.45,43.73,6134462,0.25%,1
2005/9/8,43.45,43.49,42.83,42.96,3883209,-1.76%,0
2005/9/9,42.99,43.2,42.81,42.95,3288660,-0.02%,1
2005/9/12,42.72,44.96,42.69,44.5,8739999,3.61%,0
2005/9/13,44.17,44.38,43.44,43.93,4504843,-1.28%,1
2005/9/14,43.88,44.73,42.82,43.1,5501966,-1.89%,0
2005/9/15,43.2,43.59,42.65,42.71,4587927,-0.90%,0
2005/9/16,42.8,42.92,42.12,42.8,4109584,0.21%,0
2005/9/19,42.63,43.43,42.17,42.75,3439314,-0.12%,1
2005/9/20,42.65,43.01,41.77,41.87,3473436,-2.06%,0
2005/9/21,41.85,42.64,41.25,41.25,5309205,-1.48%,0
2005/9/22,41.2,42.27,40.5,42.08,5836415,2.01%,0
2005/9/23,41.97,42.62,41.55,42.19,3145332,0.26%,0
2005/9/26,42.45,43.42,42.4,43.34,5615401,2.73%,0
2005/9/27,43.26,43.73,42.82,43.16,4173511,-0.42%,0
2005/9/28,43.25,43.74,42.99,43.37,3239647,0.49%,1
2005/9/29,43.38,44.8,43.13,44.79,6392346,3.27%,0
2005/9/30,44.6,45.84,44.6,45.3,6056156,1.14%,0
2005/10/3,45.33,46.59,45.16,46.01,5828734,1.57%,1
2005/10/4,46,46.12,44.5,44.93,6521443,-2.35%,0
2005/10/5,44.91,45.29,43.89,44.49,6452751,-0.98%,0
2005/10/6,44.75,44.81,43.33,44.01,6187502,-1.08%,0
2005/10/7,44.27,44.61,43.38,43.72,3392551,-0.66%,0
2005/10/10,43.8,44.38,43.58,43.76,3680397,0.09%,0
2005/10/11,43.92,44.32,43.23,43.4,5300953,-0.82%,1
2005/10/12,42.91,43.68,42.44,42.55,5703645,-1.96%,0
2005/10/13,42.43,42.98,41.9,42.62,3828947,0.16%,0
2005/10/14,43,43.87,42.34,43.79,4576866,2.75%,0
2005/10/17,43.63,45.02,43.62,45.02,5223415,2.81%,0
2005/10/18,44.92,45.05,44.3,44.65,4453022,-0.82%,0
2005/10/19,44.54,45.86,44.28,45.86,6527648,2.71%,1
2005/10/20,45.94,46.07,44.68,45.01,5929139,-1.85%,0
2005/10/21,45.67,46.05,45.15,45.95,4624144,2.09%,0
2005/10/24,46.09,46.96,45.86,46.93,5480391,2.13%,1
2005/10/25,46.88,47,46.04,46.17,11965800,-1.62%,-1
2005/10/26,41.01,41.1,39.48,39.75,30129370,-13.91%,1
2005/10/27,39.64,39.9,38.86,39.06,8776545,-1.74%,0
2005/10/28,39.41,39.65,38.72,38.95,6159483,-0.28%,0
2005/10/31,39.35,40.39,39.12,39.86,6794564,2.34%,0
2005/11/1,39.97,40.74,39.65,40.37,5394758,1.28%,0
2005/11/2,40.29,41.23,39.8,40.75,5006934,0.94%,0
2005/11/3,40.89,42.0001,40.85,41.56,6999991,1.99%,0
2005/11/4,41.49,41.8,40.91,41.09,4445445,-1.13%,0
2005/11/7,41.08,41.47,40.55,41.39,3343129,0.73%,0
2005/11/8,41.33,42.11,41.03,41.95,4914488,1.35%,0
2005/11/9,41.79,42,41.28,41.4,3470515,-1.31%,0
2005/11/10,41.47,42.45,40.86,42.18,5582234,1.88%,0
2005/11/11,42.37,43.04,42.25,42.68,3981374,1.19%,0
2005/11/14,42.52,43,42.34,42.53,2619490,-0.35%,1
2005/11/15,45.46,45.65,44.43,44.45,21281170,4.51%,0
2005/11/16,44.27,45.4,44.24,45.3,7953067,1.91%,1
2005/11/17,45.43,46.76,45.36,46.74,11685670,3.18%,0
2005/11/18,46.9,48,46.66,47.98,59294210,2.65%,0
2005/11/21,47.57,48.31,47.28,47.99,17836890,0.02%,0
2005/11/22,47.5,49.01,47.34,48.85,12988590,1.79%,0
2005/11/23,48.77,48.96,48.09,48.24,7482901,-1.25%,0
2005/11/25,48.05,48.48,47.62,48.06,2695776,-0.37%,0
2005/11/28,48.15,49.12,47.62,48.35,10670700,0.60%,0
2005/11/29,48.31,49.43,48.12,48.55,10382170,0.41%,0
2005/11/30,48.48,48.68,47.55,48.46,7917014,-0.19%,0
2005/12/1,48.88,49.4,48.63,49,7866697,1.11%,0
2005/12/2,48.92,49.53,48.4,49.06,6449683,0.12%,0
2005/12/5,48.86,49.35,48.75,48.83,5250986,-0.47%,0
2005/12/6,49.06,49.9,49.06,49.26,9576740,0.88%,0
2005/12/7,49.31,49.47,48.29,48.83,6679730,-0.87%,0
2005/12/8,48.83,49.1,47.86,48.35,7012035,-0.98%,0
2005/12/9,48.65,49.04,48.25,48.74,4708144,0.81%,0
2005/12/12,49.15,49.3,48.64,49.07,3423947,0.68%,0
2005/12/13,48.54,49.67,48.48,49.5,5810423,0.88%,0
2005/12/14,49.2,49.6,48.79,49.41,4965816,-0.18%,0
2005/12/15,49.5,49.95,49.05,49.48,5819604,0.14%,0
2005/12/16,49.4,49.92,49.21,49.21,5583643,-0.55%,1
2005/12/19,48.99,50.001,48.32,48.37,8312761,-1.71%,0
2005/12/20,48.46,48.6,47.68,48.14,5535115,-0.48%,0
2005/12/21,48.29,49.06,47.78,48.97,7101755,1.72%,0
2005/12/22,48.9,49.28,48.36,49.22,4421363,0.51%,0
2005/12/23,49.16,49.39,48.72,49.22,3206494,0.00%,0
2005/12/27,48.9,49.1,48.36,48.56,5818772,-1.34%,0
